divisions,rebalancePeriod,safe_buy,safe_sell,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2023,ret2024,ret1yr,avg,min,mdd2023,mdd2024,mdd1yr,sl2023,sl2024,sl1yr
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.1,120,-24.28,0.23,14.89,-3.06,-24.28,61.12,58.43,58.20,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.15,30,-24.69,-2.28,13.18,-4.60,-24.69,61.40,58.31,58.34,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.15,45,-24.69,-0.63,13.18,-4.05,-24.69,61.40,58.61,58.34,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.15,60,-24.69,-0.63,13.18,-4.05,-24.69,61.40,58.61,58.34,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.15,90,-24.69,-0.63,13.18,-4.05,-24.69,61.40,58.61,58.34,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.15,120,-24.69,-0.63,13.18,-4.05,-24.69,61.40,58.61,58.34,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.2,30,-26.98,-4.71,13.24,-6.15,-26.98,62.50,58.30,58.18,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.2,45,-26.98,-3.07,13.24,-5.60,-26.98,62.50,58.57,58.18,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.2,60,-26.98,-3.07,13.24,-5.60,-26.98,62.50,58.57,58.18,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.2,90,-26.98,-3.07,13.24,-5.60,-26.98,62.50,58.57,58.18,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.2,120,-26.98,-3.07,13.24,-5.60,-26.98,62.50,58.57,58.18,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.25,30,-26.98,-4.71,16.45,-5.08,-26.98,62.50,58.30,58.25,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.25,45,-26.98,-3.07,16.45,-4.53,-26.98,62.50,58.57,58.25,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.25,60,-26.98,-3.07,16.45,-4.53,-26.98,62.50,58.57,58.25,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.25,90,-26.98,-3.07,16.45,-4.53,-26.98,62.50,58.57,58.25,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.25,120,-26.98,-3.07,16.45,-4.53,-26.98,62.50,58.57,58.25,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.3,30,-26.98,-4.71,13.13,-6.19,-26.98,62.50,58.30,57.94,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.3,45,-26.98,-3.07,13.13,-5.64,-26.98,62.50,58.57,57.94,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.3,60,-26.98,-3.07,13.13,-5.64,-26.98,62.50,58.57,57.94,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.3,90,-26.98,-3.07,13.13,-5.64,-26.98,62.50,58.57,57.94,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.3,120,-26.98,-3.07,13.13,-5.64,-26.98,62.50,58.57,57.94,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.08,30,-21.60,-2.16,15.13,-2.88,-21.60,59.73,58.25,54.17,10,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.08,45,-21.60,-0.49,15.13,-2.32,-21.60,59.73,58.35,54.17,10,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.08,60,-21.60,-0.49,15.13,-2.32,-21.60,59.73,58.35,54.17,10,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.08,90,-21.60,-0.49,15.13,-2.32,-21.60,59.73,58.35,54.17,10,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.08,120,-21.60,-0.49,15.13,-2.32,-21.60,59.73,58.35,54.17,10,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.1,30,-20.85,-1.57,12.70,-3.24,-20.85,59.41,58.58,58.34,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.1,45,-20.85,0.23,12.70,-2.64,-20.85,59.41,58.43,58.34,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.1,60,-20.85,0.23,12.70,-2.64,-20.85,59.41,58.43,58.34,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.1,90,-20.85,0.23,12.70,-2.64,-20.85,59.41,58.43,58.34,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.1,120,-20.85,0.23,12.70,-2.64,-20.85,59.41,58.43,58.34,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.15,30,-21.65,-2.28,13.03,-3.63,-21.65,59.75,58.31,58.38,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.15,45,-21.65,-0.63,13.03,-3.08,-21.65,59.75,58.61,58.38,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.15,60,-21.65,-0.63,13.03,-3.08,-21.65,59.75,58.61,58.38,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.15,90,-21.65,-0.63,13.03,-3.08,-21.65,59.75,58.61,58.38,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.15,120,-21.65,-0.63,13.03,-3.08,-21.65,59.75,58.61,58.38,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.2,30,-23.74,-4.71,13.10,-5.12,-23.74,60.91,58.30,58.22,10,8,6
