divisions,rebalancePeriod,safe_buy,safe_sell,safe_hold,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2011,ret2012,ret2018,ret2022,ret2024,avg,min,mdd2011,mdd2012,mdd2018,mdd2022,mdd2024,sl2011,sl2012,sl2018,sl2022,sl2024
5,5,-0.02,0.008,20,-0.05,0.05,-0.01,0.1,45,-32.68,-36.40,-25.70,-52.28,-2.66,-29.94,-52.28,68.45,67.19,66.58,72.53,58.34,15,22,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.01,0.12,45,-32.68,-36.40,-25.70,-52.28,-2.28,-29.87,-52.28,68.45,67.19,66.58,72.53,58.37,15,22,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.01,0.15,45,-32.68,-36.40,-25.70,-52.28,-1.73,-29.76,-52.28,68.45,67.19,66.58,72.53,58.45,15,22,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.02,0.08,45,-32.68,-18.04,-25.70,-52.28,-3.21,-26.38,-52.28,68.45,57.18,66.58,72.53,58.48,15,17,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.02,0.1,45,-32.68,-20.89,-25.70,-52.28,-2.81,-26.87,-52.28,68.45,58.66,66.58,72.53,58.39,15,18,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.02,0.12,45,-32.68,-20.89,-25.70,-52.28,-2.43,-26.79,-52.28,68.45,58.66,66.58,72.53,58.42,15,18,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.02,0.15,45,-32.68,-20.89,-25.70,-52.28,-1.86,-26.68,-52.28,68.45,58.66,66.58,72.53,58.34,15,18,16,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.03,0.08,45,-32.68,-18.04,-20.20,-52.28,-3.21,-25.28,-52.28,68.45,57.18,65.77,72.53,58.48,15,17,15,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.03,0.1,45,-32.68,-20.89,-20.20,-52.28,-2.81,-25.77,-52.28,68.45,58.66,65.77,72.53,58.39,15,18,15,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.03,0.12,45,-32.68,-20.89,-20.20,-52.28,-2.43,-25.69,-52.28,68.45,58.66,65.77,72.53,58.42,15,18,15,20,6
5,5,-0.02,0.008,20,-0.05,0.05,-0.03,0.15,45,-32.68,-20.89,-20.20,-52.28,-1.86,-25.58,-52.28,68.45,58.66,65.77,72.53,58.34,15,18,15,20,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.01,0.08,45,-31.76,-33.54,-25.49,-53.49,-2.31,-29.32,-53.49,68.26,66.11,66.60,73.74,58.47,15,21,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.01,0.1,45,-31.76,-35.52,-25.49,-53.49,-1.89,-29.63,-53.49,68.26,67.12,66.60,73.74,58.34,15,22,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.01,0.12,45,-31.76,-35.52,-25.49,-53.49,-1.52,-29.55,-53.49,68.26,67.12,66.60,73.74,58.37,15,22,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.01,0.15,45,-31.76,-35.52,-25.49,-53.49,-0.96,-29.44,-53.49,68.26,67.12,66.60,73.74,58.45,15,22,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.02,0.08,45,-31.76,-16.92,-25.49,-53.49,-2.45,-26.02,-53.49,68.26,56.67,66.60,73.74,58.48,15,17,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.02,0.1,45,-31.76,-19.80,-25.49,-53.49,-2.03,-26.51,-53.49,68.26,58.17,66.60,73.74,58.39,15,18,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.02,0.12,45,-31.76,-19.80,-25.49,-53.49,-1.66,-26.44,-53.49,68.26,58.17,66.60,73.74,58.42,15,18,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.02,0.15,45,-31.76,-19.80,-25.49,-53.49,-1.11,-26.33,-53.49,68.26,58.17,66.60,73.74,58.34,15,18,17,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.03,0.08,45,-31.76,-16.92,-19.95,-53.49,-2.45,-24.91,-53.49,68.26,56.67,65.73,73.74,58.48,15,17,16,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.03,0.1,45,-31.76,-19.80,-19.95,-53.49,-2.03,-25.41,-53.49,68.26,58.17,65.73,73.74,58.39,15,18,16,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.03,0.12,45,-31.76,-19.80,-19.95,-53.49,-1.66,-25.33,-53.49,68.26,58.17,65.73,73.74,58.42,15,18,16,21,6
5,5,-0.02,0.008,20,-0.05,0.06,-0.03,0.15,45,-31.76,-19.80,-19.95,-53.49,-1.11,-25.22,-53.49,68.26,58.17,65.73,73.74,58.34,15,18,16,21,6
5,5,-0.02,0.008,20,-0.05,0.08,-0.01,0.08,45,-30.87,-33.18,-25.19,-55.01,-4.97,-29.84,-55.01,67.90,65.97,66.60,74.52,58.47,15,23,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.01,0.1,45,-30.87,-35.18,-25.19,-55.01,-4.60,-30.17,-55.01,67.90,66.99,66.60,74.52,58.34,15,24,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.01,0.12,45,-30.87,-35.18,-25.19,-55.01,-4.22,-30.09,-55.01,67.90,66.99,66.60,74.52,58.37,15,24,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.01,0.15,45,-30.87,-35.18,-25.19,-55.01,-3.68,-29.98,-55.01,67.90,66.99,66.60,74.52,58.45,15,24,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.02,0.08,45,-30.87,-16.45,-25.19,-55.01,-5.11,-26.52,-55.01,67.90,56.51,66.60,74.52,58.48,15,19,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.02,0.1,45,-30.87,-19.34,-25.19,-55.01,-4.75,-27.03,-55.01,67.90,57.87,66.60,74.52,58.39,15,20,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.02,0.12,45,-30.87,-19.34,-25.19,-55.01,-4.36,-26.96,-55.01,67.90,57.87,66.60,74.52,58.42,15,20,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.02,0.15,45,-30.87,-19.34,-25.19,-55.01,-3.82,-26.85,-55.01,67.90,57.87,66.60,74.52,58.34,15,20,17,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.03,0.08,45,-30.87,-16.45,-19.63,-55.01,-5.11,-25.41,-55.01,67.90,56.51,65.73,74.52,58.48,15,19,16,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.03,0.1,45,-30.87,-19.34,-19.63,-55.01,-4.75,-25.92,-55.01,67.90,57.87,65.73,74.52,58.39,15,20,16,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.03,0.12,45,-30.87,-19.34,-19.63,-55.01,-4.36,-25.84,-55.01,67.90,57.87,65.73,74.52,58.42,15,20,16,21,7
5,5,-0.02,0.008,20,-0.05,0.08,-0.03,0.15,45,-30.87,-19.34,-19.63,-55.01,-3.82,-25.74,-55.01,67.90,57.87,65.73,74.52,58.34,15,20,16,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.01,0.08,45,-29.70,-33.56,-24.89,-53.80,-4.23,-29.24,-53.80,67.53,67.56,66.60,74.04,58.47,16,24,17,21,7
